model,category,deler,lagerplass,antall,lagerkode,utpris_m_mva,evt_bestilltid,leverandor,delenummer_oem,leverandor_pa_lager,oem_alt,link,webshop_done,compatibility_status,manual_compatibility_override,created_at,updated_at
Audi 80 B2,,AUDI 80 B2,lagerplass,0,lagerkode,utpris m/mva,evt bestilltid,leverandør,OEM nr,,,,,not_checked,0,2025-08-11T13:40:52.509Z,2025-08-11T13:40:52.510Z
Audi 80 B2,Karosseri,forskjerm v,F 1 A,1,PC 135 SA,"2735,-",5 dager,blic/Rhibo,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Audi 80 B2,Karosseri,forskjerm h,F1A,1,PC 135 SA,"2735,.",5 dager,blic/Rhibo,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,,Understell B2/B3,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Suspension,bærearmforinger,A2-2A,1,"Polcar 2,6","89,-",,AP/Polcar,8A0 407 181,SRL+Lemførder+Febi,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Suspension,traversforinger,A3-2B,53,"PC/AP 3,1","124,-",48 i bestilling,SRL/Max/Technorot,811199415A +823199415 +B,Febi + Teknorot,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Suspension,Traversfester ,A3-1A,6,PC,,,Lemførder,431 399 151D,Lemførder ,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Suspension,skrudde,A3-1A,10,PC/AP 5.2,"323,-",,Tekno/SRL/Lemf/Max,431 399 151 D,Febi,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Suspension,Stabstag B2 korte,A2-4F,4,TP 20,360.-,,,855407469,Meyle 1160600013,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Suspension,Bærearm v,A2-5A,3,"PC 20,5 SRL ","446,-",,SRL/Max/Febi,857407147A +893407147C+G+E,SRL 130737,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
